4,23,,,
The trees are very dense around here.,TRUE,FALSE,FaceKoishi_sw,FaceSeiryuu_no
"If I stay here, I can't see the meteors,",TRUE,FALSE,FaceKoishi_no,FaceSeiryuu_no
so I guess I'll have to fly above the trees.,TRUE,FALSE,FaceKoishi_no2,FaceSeiryuu_no
I can vaguely feel the breath from a youkai.,FALSE,TRUE,FaceKoishi_no,FaceSeiryuu_no
Am I imagining things?,FALSE,TRUE,FaceKoishi_no,FaceSeiryuu_dp
Hmm? There is youkai activity in this willow grove.,TRUE,FALSE,FaceKoishi_sp,FaceSeiryuu_no
Ah! I see you.,FALSE,TRUE,FaceKoishi_sp,FaceSeiryuu_sp
A youkai who can conceal its aura.,FALSE,TRUE,FaceKoishi_no,FaceSeiryuu_sw
I'm not hiding my aura.,TRUE,FALSE,FaceKoishi_hp,FaceSeiryuu_no
It's only that I closed my third eye,TRUE,FALSE,FaceKoishi_no,FaceSeiryuu_no
and am acting in my subconscious.,TRUE,FALSE,FaceKoishi_no2,FaceSeiryuu_no
So a youkai who has no thoughts.,FALSE,TRUE,FaceKoishi_no,FaceSeiryuu_hp
You're pretty good for being able to spot me.,TRUE,FALSE,FaceKoishi_no,FaceSeiryuu_no
"Well, I have been around for thousands of years.",FALSE,TRUE,FaceKoishi_no,FaceSeiryuu_dp
"Your presence is faint, but I can sense it.",FALSE,TRUE,FaceKoishi_no,FaceSeiryuu_hp
A thousand-year youkai?,TRUE,FALSE,FaceKoishi_sp,FaceSeiryuu_no
Someone like you didn't get banished underground?,TRUE,FALSE,FaceKoishi_no,FaceSeiryuu_no
This is strange.,TRUE,FALSE,FaceKoishi_no2,FaceSeiryuu_no
"Because if I left the forest, I would be very sad.",FALSE,TRUE,FaceKoishi_no,FaceSeiryuu_dp
"Also,",FALSE,TRUE,FaceKoishi_no,FaceSeiryuu_dp
I have lived together with humans for some time.,FALSE,TRUE,FaceKoishi_no,FaceSeiryuu_hp
So you made a compromise with humans?,TRUE,FALSE,FaceKoishi_an3,FaceSeiryuu_no
Where's your pride as a youkai?,TRUE,FALSE,FaceKoishi_an2,FaceSeiryuu_no
Where's yours,FALSE,TRUE,FaceKoishi_an3,FaceSeiryuu_sw
as one who abandoned her youkai lineage?,FALSE,TRUE,FaceKoishi_an3,FaceSeiryuu_dp
How can you be lecturing me when you can't even call yourself a youkai?,FALSE,TRUE,FaceKoishi_an3,FaceSeiryuu_dp
I'll show you the true meaning of being one of my kind!,FALSE,TRUE,FaceKoishi_an3,FaceSeiryuu_sw
