4,44,,,,,
"Shinmyoumaru, is it here?",TRUE,FaceReimu_no,FALSE,Facemaru_no,FALSE,FaceRakukun_no
That's right.,FALSE,FaceReimu_no,TRUE,Facemaru_no,FALSE,FaceRakukun_no
There's a powerful source of magic coming from this place.,FALSE,FaceReimu_no,TRUE,Facemaru_no2,FALSE,FaceRakukun_no
Show yourself! The one who caused the shooting star incident!,TRUE,FaceReimu_an,FALSE,Facemaru_no,FALSE,FaceRakukun_no
I am right here.,FALSE,FaceReimu_an,FALSE,Facemaru_no,TRUE,FaceRakukun_dp
The culprit has shown herself.,TRUE,FaceReimu_an,FALSE,Facemaru_no,FALSE,FaceRakukun_dp
That was unexpected.,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_no
Not even Kage could stop you.,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_dp
You really are strong.,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_no
I was also there.,FALSE,FaceReimu_no,TRUE,Facemaru_sw,FALSE,FaceRakukun_no
Don't ignore me.,FALSE,FaceReimu_no,TRUE,Facemaru_sw,FALSE,FaceRakukun_no
"Ah! Hello there, inchling.",FALSE,FaceReimu_no,FALSE,Facemaru_sw,TRUE,FaceRakukun_sp
"Sorry, I didn't notice you.",FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_sp
Enough with the pleasantries.,TRUE,FaceReimu_no2,FALSE,Facemaru_no,FALSE,FaceRakukun_no
Why did you summon these meteors?,TRUE,FaceReimu_no,FALSE,Facemaru_no,FALSE,FaceRakukun_no
To realize my dream.,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRakukun_hp
Realize your dream!?,TRUE,FaceReimu_sp,FALSE,Facemaru_no,FALSE,FaceRakukun_no
It's like the Miracle Mallet all over again…,FALSE,FaceReimu_sp,TRUE,Facemaru_sp,FALSE,FaceRakukun_no
How can this be possible…,TRUE,FaceReimu_sw,FALSE,Facemaru_sp,FALSE,FaceRakukun_no
Wait! It is possible!,TRUE,FaceReimu_no,FALSE,Facemaru_no,FALSE,FaceRakukun_no
