6,30,,,
This light is very pretty.,TRUE,FALSE,FaceKoishi_hp,FaceKage_no
I wonder who's producing it?,TRUE,FALSE,FaceKoishi_no2,FaceKage_no
I wonder,FALSE,TRUE,FaceKoishi_no,FaceKage_sp
why you aren't confused,FALSE,TRUE,FaceKoishi_no,FaceKage_no
even when you ended up here?,FALSE,TRUE,FaceKoishi_no,FaceKage_no
"Who are you? What do you mean by “confused”?",TRUE,FALSE,FaceKoishi_sp,FaceKage_no
My name is Kage Mimeima,FALSE,TRUE,FaceKoishi_sp,FaceKage_dp
This is the mirror world I created.,FALSE,TRUE,FaceKoishi_no,FaceKage_no
So you can do that?,TRUE,FALSE,FaceKoishi_no2,FaceKage_no
Amazing…,TRUE,FALSE,FaceKoishi_hp,FaceKage_no
My intent is for those who are confused by the meteorites to be trapped here.,FALSE,TRUE,FaceKoishi_no,FaceKage_sw
But it doesn't work on you.,FALSE,TRUE,FaceKoishi_no,FaceKage_no
It's very surprising.,FALSE,TRUE,FaceKoishi_no,FaceKage_dp
I wonder?,TRUE,FALSE,FaceKoishi_no2,FaceKage_no
Probably because I'm never thinking at all.,TRUE,FALSE,FaceKoishi_hp2,FaceKage_no
……,FALSE,TRUE,FaceKoishi_hp2,FaceKage_sw
So that's why.,FALSE,TRUE,FaceKoishi_no,FaceKage_no
I thought this was a foolproof trap.,FALSE,TRUE,FaceKoishi_no,FaceKage_dp
I didn't think there were humans with this ability.,FALSE,TRUE,FaceKoishi_no,FaceKage_no
I'm not a human.,TRUE,FALSE,FaceKoishi_no,FaceKage_no
But why did you set this trap?,TRUE,FALSE,FaceKoishi_no2,FaceKage_no
To catch passing wildlife?,TRUE,FALSE,FaceKoishi_no2,FaceKage_no
"Well, I never intended to harm anyone,",FALSE,TRUE,FaceKoishi_no,FaceKage_no
just to trap those who would interfere with our plan.,FALSE,TRUE,FaceKoishi_no,FaceKage_dp
But why would you stumble into this trap,FALSE,TRUE,FaceKoishi_no,FaceKage_sw
when you're clearly not affected by its magic?,FALSE,TRUE,FaceKoishi_no,FaceKage_sw
I just think these lights are veeery pretty.,TRUE,FALSE,FaceKoishi_hp,FaceKage_no
Nothing else.,TRUE,FALSE,FaceKoishi_hp2,FaceKage_no
……,FALSE,TRUE,FaceKoishi_hp2,FaceKage_sp
"You truly live up to the name of a thoughtless youkai,",FALSE,TRUE,FaceKoishi_no,FaceKage_no
but luck is on our side after all.,FALSE,TRUE,FaceKoishi_no,FaceKage_sw
"Since you came here, don't think about leaving anymore.",FALSE,TRUE,FaceKoishi_no,FaceKage_no
Your power poses too much of a threat.,FALSE,TRUE,FaceKoishi_no,FaceKage_dp
I'll take care of you here once and for all.,FALSE,TRUE,FaceKoishi_no,FaceKage_bk
