6,27,,,
I've finally arrived,TRUE,FALSE,FaceSanae_no2,FaceRakukun_no
at this weird altar.,TRUE,FALSE,FaceSanae_no,FaceRakukun_no
"Now, the one summoning these shooting stars, show yourself!",TRUE,FALSE,FaceSanae_an,FaceRakukun_no
"Oh my, this is quite unexpected.",FALSE,TRUE,FaceSanae_no,FaceRakukun_no
I can't believe that even Kage failed to stop you.,FALSE,TRUE,FaceSanae_no,FaceRakukun_no
You're really powerful.,FALSE,TRUE,FaceSanae_no,FaceRakukun_dp
This is nothing,TRUE,FALSE,FaceSanae_no,FaceRakukun_no
"compared to you, who's able to summon so many shooting stars.",TRUE,FALSE,FaceSanae_no2,FaceRakukun_no
"Oh, really? Thanks for the compliment.",FALSE,TRUE,FaceSanae_no,FaceRakukun_hp
"With that said, by summoning such a ridiculous amount of shooting stars in the sky,",TRUE,FALSE,FaceSanae_no,FaceRakukun_no
what is your motive?,TRUE,FALSE,FaceSanae_an,FaceRakukun_no
It's to realize my wish.,FALSE,TRUE,FaceSanae_no,FaceRakukun_dp
"I noticed that the power of a single shooting star is too limited,",FALSE,TRUE,FaceSanae_no,FaceRakukun_no
"so if I were to summon a meteor shower, then the situation might be different.",FALSE,TRUE,FaceSanae_no,FaceRakukun_hp
Realizing a wish?,TRUE,FALSE,FaceSanae_sp,FaceRakukun_no
Is that really true!?,TRUE,FALSE,FaceSanae_sp,FaceRakukun_no
It's true.,FALSE,TRUE,FaceSanae_no,FaceRakukun_dp
Have you ever heard of the “Star God”?,FALSE,TRUE,FaceSanae_no,FaceRakukun_no
"It is said that by praying to the shooting stars, the power of faith will eventually pass on to the Star God.",FALSE,TRUE,FaceSanae_no,FaceRakukun_hp
This is how wishes come true.,FALSE,TRUE,FaceSanae_no,FaceRakukun_dp
So that's how it is.,TRUE,FALSE,FaceSanae_sw,FaceRakukun_no
"In the end, it's about gathering faith?",TRUE,FALSE,FaceSanae_an,FaceRakukun_no
"If you're going to be taking the faith of Gensokyo, I won't stand around doing nothing!",TRUE,FALSE,FaceSanae_an2,FaceRakukun_no
Gathering faith?,FALSE,TRUE,FaceSanae_no,FaceRakukun_sp
I see.,FALSE,TRUE,FaceSanae_no,FaceRakukun_dp
"So that's how you see it, huh?",FALSE,TRUE,FaceSanae_no,FaceRakukun_sw
"But no matter what,",FALSE,TRUE,FaceSanae_no,FaceRakukun_dp
"without the power of faith, it is very difficult to conduct the prayer ritual.",FALSE,TRUE,FaceSanae_no,FaceRakukun_no
"In that case, if you are here to stop it, you will have to fight against me!",FALSE,TRUE,FaceSanae_no,FaceRakukun_an
Bring it on! A battle for faith!,TRUE,FALSE,FaceSanae_an2,FaceRakukun_no
O dazzling Star God!,FALSE,TRUE,FaceSanae_no,FaceRakukun_dp
Convert these shooting stars into magical power!,FALSE,TRUE,FaceSanae_no,FaceRakukun_dp
Protect my people!,FALSE,TRUE,FaceSanae_no,FaceRakukun_ct
