10,34,,,
What a beautiful starlit sky.,TRUE,FALSE,FaceMarisa_hp,FaceTensei_no
It's several times more beautiful than the usual night sky!,TRUE,FALSE,FaceMarisa_hp,FaceTensei_no
"Even though I also use star-shaped danmaku,",TRUE,FALSE,FaceMarisa_no,FaceTensei_no
it's nothing next to real stars!,TRUE,FALSE,FaceMarisa_no,FaceTensei_no
Thank you for the compliment.,FALSE,TRUE,FaceMarisa_no,FaceTensei_hp
Everything you see right now,FALSE,TRUE,FaceMarisa_no,FaceTensei_no
is my power.,FALSE,TRUE,FaceMarisa_no,FaceTensei_dp
"That said, are you the Star God?",TRUE,FALSE,FaceMarisa_no2,FaceTensei_no
Indeed.,FALSE,TRUE,FaceMarisa_no2,FaceTensei_dp
Welcome to my starlit world.,FALSE,TRUE,FaceMarisa_no,FaceTensei_hp
My name is Tensei Muriya.,FALSE,TRUE,FaceMarisa_no,FaceTensei_no
"So, these meteorites are your doing, too?",TRUE,FALSE,FaceMarisa_no2,FaceTensei_no
I am only here to respond to the sincerest prayers.,FALSE,TRUE,FaceMarisa_no2,FaceTensei_dp
"You know, I actually thought you were the one who summoned me.",FALSE,TRUE,FaceMarisa_no,FaceTensei_no
What makes you think so?,TRUE,FALSE,FaceMarisa_hp,FaceTensei_no
"Because your magic is very powerful,",FALSE,TRUE,FaceMarisa_no,FaceTensei_hp
"but since you already possess great strength, why do you seek me? Did something happen?",FALSE,TRUE,FaceMarisa_no,FaceTensei_no
"I'm not really that strong, actually.",TRUE,FALSE,FaceMarisa_no2,FaceTensei_no
"I often lose to that red-white shrine maiden, after all!",TRUE,FALSE,FaceMarisa_no,FaceTensei_no
"But since you are able to grant any wishes,",TRUE,FALSE,FaceMarisa_no2,FaceTensei_no
then I'll make one.,TRUE,FALSE,FaceMarisa_no2,FaceTensei_no
Please give me the most powerful magic!,TRUE,FALSE,FaceMarisa_hp,FaceTensei_no
……,FALSE,TRUE,FaceMarisa_no,FaceTensei_sw
"No matter how many years pass,",FALSE,TRUE,FaceMarisa_no,FaceTensei_sw
"humans still are greedy, as always".,FALSE,TRUE,FaceMarisa_no,FaceTensei_sw
"It can't be helped, I guess.",TRUE,FALSE,FaceMarisa_hp,FaceTensei_no
"After all, everyone would like to have the most powerful magic easily right?",TRUE,FALSE,FaceMarisa_hp2,FaceTensei_no
Do you really think it will be so easy?,FALSE,TRUE,FaceMarisa_no,FaceTensei_sw
What?,TRUE,FALSE,FaceMarisa_sp,FaceTensei_sw
"For every fallen star, you must respond to it by having your soul serve as an exchange.",FALSE,TRUE,FaceMarisa_no2,FaceTensei_dp
"This way, the cosmic law of energy will be balanced.",FALSE,TRUE,FaceMarisa_no2,FaceTensei_dp
"If that so-called wish is to come true, the price must be paid in the form of that soul.",FALSE,TRUE,FaceMarisa_no,FaceTensei_dp
as this can only be achieved by breaking the laws of nature.,FALSE,TRUE,FaceMarisa_no,FaceTensei_dp
Now I need to exchange my life!?,TRUE,FALSE,FaceMarisa_an,FaceTensei_no
"You said you wanted the most powerful magic,",FALSE,TRUE,FaceMarisa_an,FaceTensei_sw
"so as payment for it,",FALSE,TRUE,FaceMarisa_an,FaceTensei_dp
I'll receive your soul!,FALSE,TRUE,FaceMarisa_an,FaceTensei_bk
I won't let you!,TRUE,FALSE,FaceMarisa_an,FaceTensei_bk
