2,3,,,
Hehe.,TRUE,FALSE,FaceKoishi_hp2,FaceRika_lo
I’m the winner.,TRUE,FALSE,FaceKoishi_dp2,FaceRika_lo
Damn it!,FALSE,TRUE,FaceKoishi_dp2,FaceRika_lo
I was careless,FALSE,TRUE,FaceKoishi_no,FaceRika_lo
It seems that the people in Gensokyo are not your ordinary folks.,FALSE,TRUE,FaceKoishi_no,FaceRika_lo2
"All right, now you need to fulfill our promise,",TRUE,FALSE,FaceKoishi_hp,FaceRika_lo2
"and take me to visit the Outside World, OK?",TRUE,FALSE,FaceKoishi_dp2,FaceRika_lo2
Erm… Are you really serious in going?,FALSE,TRUE,FaceKoishi_no,FaceRika_lo2
Of course!,TRUE,FALSE,FaceKoishi_no2,FaceRika_lo2
I’m sure the Outside world have lots of meaningful things going around right?,TRUE,FALSE,FaceKoishi_no,FaceRika_lo2
"When I return home, I will tell lots of stories to my elder sister!",TRUE,FALSE,FaceKoishi_hp,FaceRika_no
"Well then, let’s go get you a change of clothes first.",FALSE,TRUE,FaceKoishi_no,FaceRika_no
This is to prevent any unnecessary trouble during our stay in the Outside world.,FALSE,TRUE,FaceKoishi_no,FaceRika_no2
Clothes from the Outside World?,TRUE,FALSE,FaceKoishi_no2,FaceRika_no
I wonder how will it looks like? I am curious!,TRUE,FALSE,FaceKoishi_dp,FaceRika_no
"Well then, during our visit in the Outside World, you will need to obey me, OK?",FALSE,TRUE,FaceKoishi_no,FaceRika_no
Okay~,TRUE,FALSE,FaceKoishi_hp2,FaceRika_no
"Don’t run around all over the place, OK?",FALSE,TRUE,FaceKoishi_hp2,FaceRika_sw
Okay~~,TRUE,FALSE,FaceKoishi_hp2,FaceRika_sw
