17,35,,,
"Wow, that's a lot of meteor fragments.",TRUE,FALSE,FaceKoishi_no2,FaceRakukun_no
I'll pick some up to take home for sis.,TRUE,FALSE,FaceKoishi_hp2,FaceRakukun_no
She certainly has never seen them.,TRUE,FALSE,FaceKoishi_hp,FaceRakukun_no
"Welcome to this altar under the starry night,",FALSE,TRUE,FaceKoishi_no,FaceRakukun_dp
Miss Youkai.,FALSE,TRUE,FaceKoishi_no,FaceRakukun_no
Huh? You can see me?,TRUE,FALSE,FaceKoishi_sp,FaceRakukun_no
You have collected so many meteor fragments,FALSE,TRUE,FaceKoishi_sp,FaceRakukun_hp
that your body is shining brightly.,FALSE,TRUE,FaceKoishi_no,FaceRakukun_no
It's very noticeable.,FALSE,TRUE,FaceKoishi_no,FaceRakukun_no
So that's why; so cool!,TRUE,FALSE,FaceKoishi_hp,FaceRakukun_no
"As long as I have these meteorites with me, everyone will see me.",TRUE,FALSE,FaceKoishi_no2,FaceRakukun_no
I'm so happy; thank you for telling me.,TRUE,FALSE,FaceKoishi_hp,FaceRakukun_no
"Sorry to dissapoint you, but",FALSE,TRUE,FaceKoishi_no2,FaceRakukun_no
in a few days these meteorites will lose their light.,FALSE,TRUE,FaceKoishi_no,FaceRakukun_dp
Is that so…,TRUE,FALSE,FaceKoishi_sw,FaceRakukun_dp
But how do you know about that?,TRUE,FALSE,FaceKoishi_no,FaceRakukun_no
Because the one who summoned those meteorites,FALSE,TRUE,FaceKoishi_no,FaceRakukun_no
"is no one else but me, Rakukun Momosame.",FALSE,TRUE,FaceKoishi_no,FaceRakukun_no
So why did you summon them?,TRUE,FALSE,FaceKoishi_no2,FaceRakukun_no
Do you want to hold a meteor shower party?,TRUE,FALSE,FaceKoishi_hp,FaceRakukun_no
"In that case, I'll participate.",TRUE,FALSE,FaceKoishi_hp,FaceRakukun_no
Unfortunately not.,FALSE,TRUE,FaceKoishi_hp,FaceRakukun_dp
I summoned these meteorites to achieve my dream.,FALSE,TRUE,FaceKoishi_no,FaceRakukun_dp
Your dream!?,TRUE,FALSE,FaceKoishi_sp,FaceRakukun_no
Is that really possible!?,TRUE,FALSE,FaceKoishi_sp,FaceRakukun_no
This is real,FALSE,TRUE,FaceKoishi_sp,FaceRakukun_no
as long as the “Star God” answers my prayers.,FALSE,TRUE,FaceKoishi_no,FaceRakukun_hp
"Wow! That's great; I want to make a wish, too!",TRUE,FALSE,FaceKoishi_hp2,FaceRakukun_hp
There's something I want to achieve particularly!,TRUE,FALSE,FaceKoishi_hp2,FaceRakukun_no
"Unfortunately, if you have a tainted heart, the God won't answer your prayers.",FALSE,TRUE,FaceKoishi_hp2,FaceRakukun_dp
That's not a problem.,TRUE,FALSE,FaceKoishi_no,FaceRakukun_no
I'll take you down and make a wish before you do!,TRUE,FALSE,FaceKoishi_an3,FaceRakukun_no
What!?,FALSE,TRUE,FaceKoishi_an3,FaceRakukun_an
You're going to rob me like a bandit!?,FALSE,TRUE,FaceKoishi_an3,FaceRakukun_an
"Even though I'm no longer a Satori,",TRUE,FALSE,FaceKoishi_no,FaceRakukun_an
"robbing a human is still beneath the dignity of a youkai.",TRUE,FALSE,FaceKoishi_no,FaceRakukun_an
But,TRUE,FALSE,FaceKoishi_an3,FaceRakukun_an
"if it can really work,",TRUE,FALSE,FaceKoishi_an3,FaceRakukun_an
"if I can really get a wish,",TRUE,FALSE,FaceKoishi_an3,FaceRakukun_an
I really want to be with my big sis…,TRUE,FALSE,FaceKoishi_an3,FaceRakukun_an
Say no more!,FALSE,TRUE,FaceKoishi_an3,FaceRakukun_an
I won't let you take my dream away from me!,FALSE,TRUE,FaceKoishi_an3,FaceRakukun_an
